employee_id,age,gender,years_at_company,job_role,monthly_income,work-life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
49803,52,Female,44,Technology,12514,2,4,3,1,Yes,38,High School,Married,4,Mid,Small,117,No,No,No,3,1,Stayed
2213,42,Male,14,Education,5076,2,3,4,0,Yes,53,Bachelor’s Degree,Single,5,Entry,Medium,68,No,No,No,3,3,Stayed
48091,37,Male,28,Technology,8287,2,2,4,0,No,10,Bachelor’s Degree,Married,5,Entry,Large,100,No,No,No,3,1,Left
49462,56,Male,24,Healthcare,8963,4,3,3,1,No,43,Bachelor’s Degree,Married,0,Mid,Medium,81,No,No,No,3,3,Stayed
16073,21,Female,1,Healthcare,7869,2,3,4,0,No,23,Master’s Degree,Married,0,Senior,Large,64,No,No,Yes,3,1,Stayed
54967,47,Female,11,Media,6664,2,3,3,1,No,77,Associate Degree,Single,4,Mid,Small,41,No,No,No,3,3,Left
35183,47,Female,35,Healthcare,9319,4,4,2,2,Yes,89,High School,Single,3,Mid,Medium,44,No,No,Yes,4,2,Left
455,50,Male,15,Healthcare,8209,3,3,3,0,No,7,Master’s Degree,Single,0,Senior,Medium,91,No,No,No,4,4,Left
36359,40,Male,22,Healthcare,5593,3,3,3,0,No,74,Associate Degree,Single,0,Entry,Medium,55,No,No,No,3,1,Stayed
36048,50,Female,19,Finance,8345,2,3,2,2,No,55,Associate Degree,Married,3,Entry,Medium,24,No,No,No,2,3,Left
54081,23,Male,4,Education,4532,4,3,3,1,Yes,87,Master’s Degree,Single,1,Mid,Medium,60,No,No,No,3,3,Left
17189,43,Male,24,Education,3961,1,3,1,0,No,64,Bachelor’s Degree,Married,0,Mid,Large,69,No,No,No,2,4,Left
31516,25,Male,2,Healthcare,7107,4,2,3,0,Yes,87,Associate Degree,Divorced,0,Mid,Small,18,No,No,No,3,3,Stayed
3586,37,Male,20,Education,3124,4,4,4,0,Yes,79,Associate Degree,Married,4,Entry,Medium,51,Yes,No,No,1,1,Left
49198,34,Male,7,Healthcare,8312,3,2,2,1,Yes,77,PhD,Single,0,Mid,Medium,27,No,No,No,4,1,Left
60686,36,Male,11,Technology,8085,2,2,2,0,No,76,Bachelor’s Degree,Married,0,Entry,Medium,49,No,No,No,3,2,Stayed
14616,48,Male,8,Education,4317,1,3,2,1,No,69,Master’s Degree,Married,4,Entry,Small,47,No,No,No,3,1,Left
12605,20,Female,7,Media,6532,3,3,4,0,No,26,Associate Degree,Married,2,Entry,Medium,85,Yes,No,Yes,1,2,Stayed
27617,57,Male,24,Media,6219,4,1,2,3,Yes,44,High School,Divorced,2,Entry,Medium,75,No,No,No,4,3,Stayed
23602,46,Female,26,Finance,8376,2,4,1,1,No,77,Associate Degree,Single,1,Entry,Medium,94,No,No,No,2,2,Left
20883,18,Female,8,Healthcare,7162,2,3,2,1,No,46,Master’s Degree,Single,2,Entry,Large,64,Yes,No,Yes,1,2,Left
64272,22,Male,1,Media,6519,1,2,3,2,No,68,Master’s Degree,Single,0,Entry,Medium,39,No,No,No,3,1,Left
71141,26,Female,16,Finance,5785,3,4,2,1,No,78,Associate Degree,Single,0,Entry,Medium,70,No,No,No,3,1,Left
62438,40,Female,23,Finance,8585,3,2,3,2,Yes,78,Bachelor’s Degree,Married,5,Mid,Small,49,No,No,No,1,1,Stayed
55672,19,Female,7,Media,5965,3,4,3,1,No,3,Bachelor’s Degree,Single,1,Senior,Medium,84,Yes,No,Yes,3,4,Left
18843,18,Female,5,Education,5162,3,1,3,0,Yes,82,PhD,Single,4,Senior,Large,38,No,No,No,2,3,Stayed
59459,29,Male,17,Media,5450,2,4,4,0,No,41,High School,Married,2,Mid,Small,32,No,No,No,3,2,Left
56488,24,Male,4,Education,3198,2,3,3,1,No,22,Master’s Degree,Married,3,Senior,Medium,49,No,No,No,3,2,Left
11062,24,Male,15,Finance,9551,3,3,3,0,Yes,40,Associate Degree,Single,0,Mid,Medium,54,No,No,No,1,3,Stayed
70350,41,Male,19,Technology,9587,1,4,3,2,No,4,Bachelor’s Degree,Single,1,Mid,Small,32,No,No,No,2,2,Left
25065,18,Male,9,Healthcare,8419,3,2,4,0,No,84,High School,Single,2,Senior,Medium,38,No,No,No,1,2,Left
59563,55,Female,43,Media,5996,2,2,3,0,Yes,99,Associate Degree,Single,1,Senior,Small,115,No,No,Yes,3,3,Left
6080,32,Female,18,Technology,9434,2,2,4,0,No,83,Master’s Degree,Single,1,Mid,Medium,94,No,No,No,4,1,Left
65256,50,Female,18,Technology,8935,2,2,2,2,No,10,Master’s Degree,Married,1,Entry,Small,55,No,No,No,3,3,Stayed
55816,28,Male,13,Technology,6261,2,3,3,1,No,62,Associate Degree,Married,1,Mid,Large,87,No,No,No,3,1,Left
48154,18,Male,2,Technology,8865,3,3,3,2,No,59,Master’s Degree,Married,2,Mid,Large,52,No,Yes,No,3,1,Stayed
19598,30,Male,2,Education,3089,1,3,3,0,Yes,35,Associate Degree,Married,0,Entry,Large,39,No,No,No,1,1,Left
45711,38,Male,10,Healthcare,6138,4,3,3,0,Yes,35,High School,Married,2,Entry,Medium,71,No,No,No,4,2,Stayed
31921,46,Male,6,Finance,7800,3,2,2,1,No,2,High School,Single,5,Entry,Large,44,No,No,No,2,1,Left
28968,27,Female,5,Media,7043,2,2,2,0,No,39,Bachelor’s Degree,Married,0,Entry,Small,48,No,No,No,3,3,Stayed
42658,59,Male,3,Healthcare,8326,3,3,1,1,No,71,Bachelor’s Degree,Married,0,Mid,Small,25,No,No,No,4,1,Left
33024,34,Male,19,Technology,7603,2,4,3,1,Yes,20,Associate Degree,Single,0,Entry,Medium,69,No,No,No,3,3,Left
12971,49,Male,33,Finance,12628,1,3,3,0,No,19,Associate Degree,Single,0,Mid,Small,80,Yes,No,No,3,2,Stayed
5719,53,Male,4,Education,3670,2,3,3,0,No,31,High School,Single,0,Entry,Small,65,No,No,No,3,2,Left
9331,26,Male,11,Technology,9280,2,2,2,0,No,50,Master’s Degree,Divorced,0,Mid,Medium,83,No,No,No,4,2,Left
64168,45,Male,9,Media,7242,3,4,3,0,Yes,37,Bachelor’s Degree,Single,3,Entry,Medium,63,Yes,No,No,3,3,Left
20332,20,Male,11,Healthcare,9634,4,3,3,0,No,91,PhD,Divorced,1,Mid,Medium,37,Yes,No,No,2,2,Stayed
11169,52,Male,17,Media,5834,2,3,4,2,No,86,Associate Degree,Married,2,Mid,Medium,53,No,No,No,4,2,Stayed
30757,43,Female,26,Education,3973,3,3,4,1,No,68,Associate Degree,Divorced,1,Mid,Medium,60,No,No,No,3,1,Left
60983,18,Female,8,Media,6010,2,3,3,0,No,53,High School,Married,5,Mid,Medium,34,No,No,No,3,2,Left
26913,31,Male,1,Media,5687,3,4,3,1,No,72,Associate Degree,Single,2,Entry,Large,15,No,No,No,3,3,Left
7546,22,Male,6,Education,3963,3,4,3,0,No,64,Associate Degree,Married,3,Senior,Large,71,No,No,No,3,1,Stayed
67990,53,Female,22,Media,4939,3,3,3,1,Yes,50,Associate Degree,Single,2,Senior,Medium,76,Yes,No,No,2,4,Stayed
34301,22,Male,11,Finance,8595,3,3,3,2,Yes,50,Bachelor’s Degree,Single,2,Entry,Medium,54,No,No,No,4,1,Left
14321,25,Male,8,Healthcare,8872,2,3,3,0,Yes,46,Bachelor’s Degree,Single,0,Mid,Large,35,No,No,No,3,2,Left
53135,39,Male,30,Healthcare,8296,3,3,3,0,No,22,Bachelor’s Degree,Married,1,Mid,Medium,35,No,Yes,No,3,1,Stayed
14669,54,Female,6,Education,3631,2,3,4,0,Yes,38,PhD,Married,3,Entry,Medium,68,No,No,No,1,3,Left
43491,56,Female,4,Media,6071,1,2,3,1,Yes,82,Associate Degree,Single,2,Entry,Medium,12,No,No,Yes,4,1,Left
54054,38,Male,26,Education,4419,1,3,3,3,No,77,Master’s Degree,Single,0,Mid,Medium,97,No,No,No,3,1,Left
7163,19,Male,5,Technology,7391,2,1,2,1,No,51,High School,Married,4,Entry,Medium,37,No,No,Yes,1,1,Left
26780,57,Male,45,Technology,10599,3,4,2,0,No,23,Bachelor’s Degree,Single,2,Senior,Medium,71,No,No,Yes,3,3,Stayed
13903,35,Male,8,Media,6092,3,2,3,2,No,79,PhD,Single,0,Entry,Small,58,Yes,No,No,2,1,Stayed
6649,40,Male,16,Healthcare,8727,1,3,4,2,No,35,High School,Divorced,2,Mid,Medium,65,No,No,No,1,1,Stayed
51846,41,Male,6,Healthcare,7252,3,2,3,2,No,14,Associate Degree,Divorced,0,Mid,Large,71,No,No,No,1,1,Stayed
26809,33,Male,6,Technology,11283,3,1,3,3,No,8,Bachelor’s Degree,Married,0,Entry,Large,30,No,No,No,3,1,Stayed
64951,42,Female,22,Technology,9062,2,3,4,3,No,75,High School,Married,1,Entry,Medium,77,Yes,No,No,2,3,Stayed
23719,54,Male,1,Healthcare,7712,4,2,3,0,No,15,Bachelor’s Degree,Married,5,Mid,Large,40,No,No,No,1,1,Stayed
11190,33,Male,23,Education,5203,3,3,3,1,No,95,High School,Single,4,Mid,Small,98,No,No,Yes,4,3,Stayed
29869,21,Male,10,Technology,8493,4,1,4,0,Yes,89,Master’s Degree,Married,3,Mid,Medium,78,Yes,No,No,3,1,Stayed
42562,58,Male,8,Healthcare,8149,4,2,3,0,No,13,PhD,Married,3,Mid,Small,69,No,No,Yes,2,2,Stayed
3032,36,Female,26,Healthcare,9482,1,3,2,2,No,44,Bachelor’s Degree,Married,4,Senior,Small,28,No,No,No,2,2,Stayed
26880,27,Female,12,Technology,8022,2,2,4,1,No,73,Bachelor’s Degree,Married,1,Senior,Small,30,No,No,No,2,1,Left
47539,32,Male,9,Technology,12240,4,3,4,2,No,93,Associate Degree,Married,0,Senior,Small,73,No,No,Yes,3,3,Stayed
4786,59,Female,48,Healthcare,8196,3,2,3,0,No,62,Associate Degree,Married,0,Senior,Small,95,No,No,Yes,3,2,Stayed
68000,22,Female,7,Finance,10012,3,2,4,1,No,99,Associate Degree,Married,0,Senior,Medium,43,No,No,No,3,2,Stayed
42053,43,Male,23,Education,3812,4,3,3,0,No,96,Bachelor’s Degree,Divorced,3,Senior,Medium,69,No,No,No,2,3,Stayed
54995,22,Female,6,Finance,8767,3,3,4,0,No,55,Associate Degree,Divorced,4,Mid,Large,63,No,No,No,3,1,Stayed
1279,55,Female,25,Technology,9099,1,1,4,0,No,42,Master’s Degree,Single,2,Entry,Medium,95,No,No,No,3,2,Left
13376,32,Male,18,Healthcare,8052,2,3,3,0,No,5,Bachelor’s Degree,Single,3,Entry,Small,33,Yes,No,No,1,2,Stayed
13169,42,Male,7,Technology,7314,3,3,4,3,Yes,28,Master’s Degree,Married,4,Mid,Small,38,No,No,No,3,1,Stayed
33968,56,Female,35,Technology,9615,1,3,3,1,No,25,Bachelor’s Degree,Married,0,Mid,Medium,73,No,No,No,1,3,Stayed
25662,41,Male,14,Technology,8118,1,1,3,1,No,3,Bachelor’s Degree,Single,4,Mid,Medium,63,No,No,No,3,1,Left
34240,57,Male,13,Education,4492,2,3,3,3,Yes,27,Associate Degree,Married,5,Mid,Large,27,No,No,No,3,2,Stayed
72123,59,Female,24,Education,3644,2,1,2,1,No,83,Bachelor’s Degree,Married,4,Entry,Medium,26,No,No,No,3,3,Left
11833,27,Female,10,Healthcare,9983,1,4,3,0,No,14,High School,Married,0,Entry,Medium,49,No,No,No,1,3,Stayed
63405,51,Female,41,Technology,8387,3,3,3,0,Yes,16,Associate Degree,Married,5,Mid,Medium,88,No,No,No,2,2,Stayed
26938,59,Male,9,Technology,10107,2,3,3,0,Yes,22,High School,Married,3,Senior,Small,66,Yes,No,Yes,3,2,Stayed
49495,50,Male,10,Media,6493,3,3,4,0,No,29,High School,Single,0,Mid,Small,72,Yes,No,No,3,1,Stayed
13947,56,Male,1,Healthcare,7758,4,4,3,0,No,14,Associate Degree,Married,2,Entry,Large,32,Yes,Yes,No,3,1,Stayed
62520,56,Female,43,Media,6357,2,1,3,1,No,90,High School,Single,0,Mid,Medium,44,No,No,No,1,3,Left
52157,42,Male,13,Education,3816,4,1,3,1,Yes,23,High School,Single,1,Entry,Medium,49,Yes,No,No,3,1,Stayed
24543,22,Male,2,Finance,9492,3,4,1,1,No,93,High School,Single,1,Entry,Medium,47,No,No,No,3,1,Left
54581,57,Male,24,Healthcare,9252,3,4,3,2,No,32,High School,Married,2,Mid,Medium,44,No,No,No,3,4,Stayed
1091,57,Male,2,Finance,12142,2,1,1,1,No,16,High School,Married,1,Mid,Medium,67,No,No,No,3,3,Stayed
33481,35,Male,24,Education,3298,2,4,3,1,No,7,Master’s Degree,Single,4,Entry,Medium,84,No,No,No,3,3,Left
11336,23,Female,5,Healthcare,7127,1,3,3,1,Yes,5,Associate Degree,Married,1,Senior,Medium,55,No,No,Yes,3,1,Stayed
2108,23,Male,12,Healthcare,8423,2,4,3,0,No,6,Associate Degree,Single,2,Senior,Medium,61,Yes,No,No,2,1,Stayed
6469,34,Female,5,Finance,10052,2,3,2,0,Yes,25,Associate Degree,Married,5,Senior,Medium,59,No,No,No,4,1,Stayed
66001,24,Male,16,Healthcare,8331,2,3,3,0,Yes,88,Bachelor’s Degree,Married,0,Entry,Medium,49,Yes,No,No,2,2,Stayed
39357,55,Male,31,Education,5768,3,3,3,0,No,39,Bachelor’s Degree,Married,1,Mid,Small,57,No,No,No,4,3,Left
29600,44,Female,4,Technology,10383,2,2,2,0,No,11,Bachelor’s Degree,Single,4,Senior,Medium,51,No,No,No,1,2,Left
34896,39,Male,10,Technology,11646,4,2,3,1,No,50,Bachelor’s Degree,Married,0,Mid,Large,24,No,No,No,3,1,Stayed
49124,46,Male,23,Technology,7858,4,2,3,0,No,30,Associate Degree,Married,3,Entry,Medium,50,No,No,Yes,3,1,Stayed
27997,55,Female,10,Finance,7169,3,3,2,0,No,87,Bachelor’s Degree,Married,0,Mid,Large,33,Yes,No,No,3,1,Stayed
31155,22,Female,9,Technology,9093,3,3,3,0,No,86,Bachelor’s Degree,Divorced,1,Entry,Small,33,No,No,No,1,3,Left
38313,30,Female,18,Technology,12018,2,2,3,0,No,60,Master’s Degree,Divorced,1,Mid,Large,29,No,No,No,1,2,Left
7135,29,Female,10,Media,6547,2,4,3,1,No,66,High School,Single,0,Mid,Medium,57,Yes,No,No,2,2,Stayed
39553,36,Male,11,Education,3883,4,1,2,2,Yes,26,Associate Degree,Divorced,1,Entry,Small,35,Yes,No,No,1,1,Stayed
6794,49,Male,30,Technology,10084,2,4,3,3,No,31,PhD,Married,2,Entry,Medium,77,No,No,No,3,2,Stayed
14519,36,Female,25,Media,5680,2,4,2,0,No,87,Master’s Degree,Single,4,Mid,Small,73,No,No,No,1,1,Left
14011,53,Male,18,Education,5700,4,4,4,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,34,No,No,No,2,2,Stayed
16439,49,Male,9,Technology,7204,3,3,2,1,Yes,82,Bachelor’s Degree,Single,0,Senior,Medium,19,No,No,No,4,2,Left
6335,19,Male,11,Education,4934,2,3,3,2,No,32,Master’s Degree,Single,2,Entry,Large,79,Yes,Yes,No,2,1,Left
19394,43,Female,17,Healthcare,8245,1,3,1,1,No,18,Bachelor’s Degree,Single,2,Entry,Large,74,Yes,No,No,2,1,Left
71080,49,Male,13,Healthcare,7970,2,3,3,0,No,53,Bachelor’s Degree,Married,4,Entry,Medium,21,Yes,No,No,2,3,Stayed
60021,49,Female,13,Finance,8164,3,3,4,1,No,95,Associate Degree,Single,0,Senior,Small,74,No,No,No,2,3,Left
44982,24,Male,6,Healthcare,8635,3,1,3,0,No,99,Associate Degree,Single,1,Senior,Medium,19,No,No,Yes,1,1,Left
8899,40,Female,4,Healthcare,6097,2,4,3,0,Yes,81,High School,Married,5,Entry,Small,48,No,No,No,3,3,Left
128,43,Female,10,Technology,10964,4,4,4,0,No,94,Master’s Degree,Married,2,Entry,Medium,22,No,No,No,3,2,Left
69732,58,Female,8,Education,4021,3,3,3,3,Yes,78,Bachelor’s Degree,Married,1,Entry,Medium,65,No,No,No,2,3,Left
46987,40,Female,23,Technology,8471,3,3,4,2,Yes,91,Associate Degree,Married,1,Entry,Small,30,No,No,No,2,1,Left
73607,45,Female,1,Technology,7841,4,3,2,0,No,35,Bachelor’s Degree,Single,3,Mid,Medium,19,No,No,Yes,3,1,Left
45755,39,Female,3,Education,4428,3,1,3,0,No,90,Master’s Degree,Single,0,Mid,Medium,50,No,Yes,Yes,1,1,Stayed
1881,29,Male,1,Technology,8703,3,4,2,1,Yes,12,Bachelor’s Degree,Married,4,Entry,Medium,74,Yes,No,No,3,2,Stayed
31115,22,Female,14,Finance,8200,3,2,2,0,Yes,55,Bachelor’s Degree,Married,2,Mid,Medium,34,No,No,No,3,2,Left
15295,51,Female,42,Healthcare,4830,2,3,4,0,No,53,Associate Degree,Single,0,Mid,Large,94,No,No,No,3,2,Left
15968,55,Female,21,Media,6860,3,4,1,0,No,35,Bachelor’s Degree,Married,0,Entry,Medium,79,No,No,No,4,1,Left
4666,35,Female,4,Finance,11105,2,3,1,0,Yes,2,Master’s Degree,Single,0,Entry,Small,69,No,No,No,3,3,Left
45346,51,Female,35,Technology,11078,1,3,3,1,Yes,22,Bachelor’s Degree,Divorced,0,Mid,Medium,70,Yes,No,No,3,1,Stayed
17550,55,Male,41,Media,5448,1,3,3,0,No,5,Master’s Degree,Married,4,Senior,Medium,111,No,No,Yes,2,2,Stayed
61929,57,Male,19,Finance,8851,3,3,4,1,Yes,73,Associate Degree,Single,0,Entry,Medium,36,No,No,No,2,1,Left
832,57,Female,12,Media,6217,2,2,3,0,Yes,58,Associate Degree,Married,1,Mid,Medium,90,Yes,No,No,3,1,Stayed
10269,29,Female,17,Healthcare,6642,3,3,3,0,Yes,75,Master’s Degree,Married,0,Entry,Medium,38,Yes,No,No,2,2,Stayed
62491,25,Male,17,Education,4368,3,4,3,1,No,69,High School,Divorced,2,Senior,Medium,46,No,No,No,3,2,Stayed
41981,22,Female,2,Healthcare,9102,3,3,3,0,No,85,High School,Single,0,Senior,Small,16,No,No,No,1,2,Left
43687,49,Female,3,Technology,9599,3,3,2,1,No,4,Bachelor’s Degree,Divorced,3,Mid,Large,58,No,No,No,2,2,Stayed
41828,37,Female,13,Media,5983,2,3,3,0,No,11,Bachelor’s Degree,Married,0,Entry,Small,49,No,No,No,3,3,Stayed
70755,41,Female,18,Finance,10901,1,4,3,2,Yes,72,PhD,Divorced,1,Senior,Large,78,No,No,No,3,2,Stayed
9802,49,Female,16,Finance,9338,2,4,3,0,No,49,High School,Married,1,Mid,Medium,25,No,No,Yes,3,2,Stayed
43886,57,Female,8,Technology,8598,3,3,3,2,Yes,89,Master’s Degree,Married,3,Senior,Medium,69,No,No,No,3,2,Left
69600,38,Male,2,Finance,9024,3,2,1,1,No,12,Master’s Degree,Married,1,Entry,Small,62,No,No,No,3,1,Stayed
66482,36,Female,25,Media,5262,3,1,2,0,Yes,95,Associate Degree,Married,5,Entry,Medium,75,No,No,No,3,1,Left
62883,19,Female,2,Education,4561,3,3,2,0,No,97,Associate Degree,Single,3,Mid,Medium,49,No,No,No,2,2,Left
61496,45,Male,8,Healthcare,7569,4,1,4,0,Yes,76,Associate Degree,Married,2,Entry,Small,46,No,No,Yes,3,2,Left
39479,42,Female,18,Finance,8549,1,4,3,0,Yes,94,High School,Divorced,2,Senior,Large,37,No,No,No,1,1,Left
40258,21,Male,9,Education,4742,3,3,3,1,No,69,High School,Married,0,Entry,Medium,73,No,No,No,3,1,Left
46253,24,Male,5,Healthcare,8231,2,3,3,2,Yes,41,Master’s Degree,Married,1,Mid,Medium,74,No,No,No,3,3,Stayed
36030,25,Male,11,Technology,9236,4,3,3,0,No,80,Bachelor’s Degree,Married,0,Senior,Small,31,No,No,No,3,1,Stayed
67337,24,Female,15,Technology,7575,2,4,3,0,No,91,High School,Married,0,Entry,Medium,17,No,No,Yes,1,3,Left
63733,42,Male,28,Media,6956,3,4,2,3,Yes,17,Master’s Degree,Single,0,Mid,Large,33,No,No,No,4,3,Stayed
65401,43,Female,19,Healthcare,8167,4,3,3,1,No,87,Bachelor’s Degree,Single,4,Senior,Medium,69,No,No,No,2,3,Stayed
44205,29,Male,18,Education,3294,3,4,3,0,No,42,Associate Degree,Single,0,Senior,Medium,92,Yes,No,No,3,1,Stayed
17621,57,Female,48,Media,6521,2,4,3,2,Yes,52,Associate Degree,Divorced,3,Mid,Medium,110,No,No,No,3,1,Left
26677,37,Male,4,Media,6097,4,3,3,2,No,90,Associate Degree,Married,3,Mid,Large,21,No,No,Yes,1,1,Left
32453,38,Female,3,Education,4916,3,4,3,0,No,86,Associate Degree,Married,1,Entry,Medium,59,Yes,No,No,4,3,Left
27160,24,Male,13,Education,5131,1,3,3,1,Yes,13,High School,Single,0,Entry,Large,28,Yes,No,No,2,2,Stayed
3355,31,Male,14,Technology,10131,3,1,3,0,Yes,42,Associate Degree,Single,4,Senior,Medium,89,Yes,No,No,1,2,Stayed
63591,57,Male,38,Technology,9838,2,4,4,0,No,36,High School,Married,0,Entry,Medium,84,No,No,No,3,1,Stayed
30940,18,Female,2,Education,4743,3,4,3,0,No,41,Bachelor’s Degree,Single,4,Senior,Medium,80,No,No,No,3,2,Stayed
17316,37,Female,15,Healthcare,8012,3,4,3,0,Yes,83,Bachelor’s Degree,Married,1,Mid,Medium,59,No,No,No,3,1,Left
54762,29,Male,10,Healthcare,7539,2,2,3,0,Yes,86,Master’s Degree,Married,0,Senior,Medium,49,No,No,Yes,3,3,Stayed
45422,40,Male,1,Technology,8284,4,2,3,2,Yes,20,Bachelor’s Degree,Single,1,Mid,Small,65,No,Yes,No,2,2,Left
21229,38,Female,22,Technology,10359,3,3,3,0,Yes,78,Associate Degree,Married,4,Mid,Small,91,No,No,No,3,1,Stayed
31471,23,Male,12,Education,5912,2,3,4,2,No,8,High School,Married,0,Entry,Medium,36,No,No,No,2,1,Left
63696,52,Male,17,Media,5341,2,3,4,2,No,54,Associate Degree,Single,0,Mid,Medium,22,Yes,No,No,3,1,Stayed
52508,37,Male,15,Technology,11018,2,4,3,2,No,60,Master’s Degree,Married,1,Entry,Large,22,Yes,No,No,3,4,Stayed
43399,43,Male,26,Technology,8393,2,3,3,3,No,51,Bachelor’s Degree,Divorced,4,Mid,Medium,85,No,No,No,2,2,Stayed
25234,56,Female,5,Technology,10062,4,2,2,0,No,39,High School,Married,0,Senior,Small,59,No,No,Yes,3,3,Stayed
52082,57,Male,49,Healthcare,7280,2,3,3,0,No,21,Associate Degree,Single,0,Entry,Medium,97,No,No,Yes,3,2,Left
51526,30,Female,4,Finance,10333,3,3,4,0,No,37,Master’s Degree,Single,0,Entry,Small,15,Yes,No,No,1,2,Left
1448,22,Female,1,Technology,8674,3,3,3,2,Yes,73,Associate Degree,Divorced,2,Entry,Medium,71,No,No,No,3,1,Left
61644,36,Male,16,Healthcare,8283,3,3,2,0,No,50,Associate Degree,Married,1,Senior,Small,61,No,No,No,3,1,Stayed
62199,42,Male,1,Media,5733,4,3,3,2,No,81,Associate Degree,Married,0,Entry,Medium,22,No,No,Yes,3,3,Stayed
44932,34,Male,3,Healthcare,9353,2,3,3,1,No,75,High School,Married,0,Entry,Medium,65,No,No,No,4,3,Left
12577,51,Male,9,Healthcare,6511,3,3,3,0,No,29,Bachelor’s Degree,Single,1,Senior,Large,18,Yes,Yes,No,3,3,Stayed
6010,20,Female,7,Media,4829,1,3,2,1,Yes,10,High School,Married,4,Senior,Medium,30,No,No,No,1,1,Stayed
64073,38,Male,20,Finance,11758,3,2,3,0,No,9,Bachelor’s Degree,Married,0,Entry,Small,32,No,Yes,No,3,1,Stayed
22751,59,Male,50,Education,4505,3,4,3,0,No,2,High School,Married,0,Senior,Medium,52,No,No,No,3,2,Stayed
8242,34,Male,5,Technology,7760,3,4,3,0,Yes,15,Bachelor’s Degree,Single,1,Mid,Medium,35,No,No,No,1,2,Left
72186,54,Male,37,Healthcare,7771,1,4,3,0,No,23,Associate Degree,Single,0,Mid,Small,67,No,No,No,3,1,Left
34340,40,Female,10,Technology,11606,2,2,3,4,Yes,89,Bachelor’s Degree,Single,1,Entry,Small,82,No,No,No,4,2,Left
48939,40,Male,20,Healthcare,8553,2,4,3,2,Yes,75,Master’s Degree,Married,0,Mid,Small,84,No,No,No,2,1,Left
68996,33,Male,20,Technology,9980,2,4,3,0,Yes,89,Associate Degree,Married,3,Mid,Medium,76,No,No,Yes,3,3,Left
24222,26,Female,15,Technology,10868,3,4,3,0,No,20,High School,Single,5,Mid,Medium,40,No,No,No,2,3,Stayed
20691,49,Male,1,Media,5138,2,3,2,2,No,2,Associate Degree,Married,2,Mid,Medium,79,No,No,No,1,3,Stayed
21750,53,Male,37,Technology,8682,2,3,3,1,No,86,Bachelor’s Degree,Single,5,Mid,Medium,96,No,No,No,3,2,Left
50869,20,Female,6,Media,6138,2,3,2,0,Yes,55,High School,Divorced,3,Mid,Small,41,No,No,No,3,1,Left
67224,33,Female,10,Healthcare,7789,2,4,2,2,No,53,Master’s Degree,Married,2,Senior,Small,39,No,No,No,1,2,Left
27073,48,Male,27,Healthcare,9460,1,2,4,2,No,83,Associate Degree,Married,2,Mid,Small,106,No,No,No,1,3,Left
45079,33,Male,23,Education,3606,4,2,2,1,Yes,84,Master’s Degree,Married,0,Entry,Medium,42,No,No,No,3,2,Left
